路線方向,路段,交流道,進出口,週六,週日,週2-4
國10西向,非主線資料,左營端,出口,35646,33147,36846
國10西向,非主線資料,鼎金系統,出口,26187,24314,30517
國10西向,非主線資料,仁武,出口,7663,7193,8939
國10西向,非主線資料,燕巢,出口,7671,7844,8494
國10西向,非主線資料,燕巢系統,出口,4553,4577,4182
國10東向,非主線資料,鼎金系統,出口,13183,11862,13996
國10東向,非主線資料,仁武,出口,14899,11635,16661
國10東向,非主線資料,燕巢,出口,2742,2363,7435
國10東向,非主線資料,燕巢系統,出口,17819,15278,17428
國10東向,非主線資料,嶺口,出口,4788,4529,4448
國10東向,非主線資料,里港,出口,4385,2075,3627
國10東向,非主線資料,旗山端,出口,13186,12155,10292
國1北向,非主線資料,基隆端,出口,22577,18844,23396
國1北向,非主線資料,基隆,出口,5257,4317,6407
國1北向,非主線資料,八堵,出口,5769,4843,5479
國1北向,非主線資料,大華系統,出口,24350,21028,22419
國1北向,非主線資料,五堵,出口,6394,5120,8998
國1北向,非主線資料,汐止及汐止系統,出口,19161,15687,23474
國1北向,非主線資料,東湖,出口,12075,10785,13692
國1北向,非主線資料,內湖,出口,12680,10021,16956
國1北向,非主線資料,圓山,出口,44773,37949,49513
國1北向,非主線資料,台北,出口,14233,11866,15728
國1北向,非主線資料,三重,出口,9922,9195,10157
國1北向,非主線資料,五股轉接道,出口,39452,32798,47279
國1北向,非主線資料,五股,出口,15951,14689,19301
國1北向,非主線資料,高公局,出口,154,124,312
國1北向,非主線資料,林口,出口,26799,22801,38235
國1北向,非主線資料,桃園,出口,25518,22263,32071
國1北向,非主線資料,機場系統,出口,19855,16497,24914
國1北向,非主線資料,內壢,出口,14566,12475,18895
國1北向,非主線資料,中壢轉接道,出口,13799,12246,15763
國1北向,非主線資料,中壢,出口,7831,7158,7987
國1北向,非主線資料,平鎮系統,出口,14498,12090,18226
國1北向,非主線資料,幼獅,出口,2290,1763,3721
國1北向,非主線資料,楊梅,出口,4090,3732,5763
國1北向,非主線資料,高架楊梅端,出口,23114,23972,22186
國1北向,非主線資料,湖口,出口,12621,10894,19092
國1北向,非主線資料,竹北,出口,14372,12291,20535
國1北向,非主線資料,新竹,出口,19518,20589,24903
國1北向,非主線資料,新竹系統,出口,13819,15567,10912
國1北向,非主線資料,頭份,出口,5451,5297,5206
國1北向,非主線資料,頭屋,出口,1041,971,967
國1北向,非主線資料,苗栗,出口,4730,4165,4724
國1北向,非主線資料,銅鑼,出口,3236,2563,2824
國1北向,非主線資料,三義,出口,3491,3176,2791
國1北向,非主線資料,后里,出口,8941,7289,10707
國1北向,非主線資料,台中系統,出口,22296,17721,25722
國1北向,非主線資料,豐原,出口,9895,7527,14170
國1北向,非主線資料,大雅,出口,8952,7088,12263
國1北向,非主線資料,台中,出口,12611,12058,13464
國1北向,非主線資料,南屯,出口,11020,9954,12718
國1北向,非主線資料,王田,出口,6391,5719,7964
國1北向,非主線資料,彰化系統,出口,22912,23613,23908
國1北向,非主線資料,彰化,出口,11180,8947,12766
國1北向,非主線資料,埔鹽系統,出口,8524,6794,9481
國1北向,非主線資料,員林,出口,2604,2610,2590
國1北向,非主線資料,北斗,出口,3323,3160,3143
國1北向,非主線資料,西螺,出口,4716,3634,4800
國1北向,非主線資料,虎尾,出口,2091,1751,2210
國1北向,非主線資料,斗南,出口,4901,3673,5910
國1北向,非主線資料,雲林系統,出口,6901,6370,6908
國1北向,非主線資料,大林,出口,2271,1927,2906
國1北向,非主線資料,民雄,出口,4701,4015,4829
國1北向,非主線資料,嘉義,出口,6767,5523,6719
國1北向,非主線資料,水上,出口,1607,1354,1643
國1北向,非主線資料,嘉義系統,出口,6411,6181,5596
國1北向,非主線資料,新營,出口,9343,7598,10583
國1北向,非主線資料,下營系統,出口,7439,7142,6999
國1北向,非主線資料,麻豆,出口,7804,6436,8580
國1北向,非主線資料,安定,出口,5073,4242,7957
國1北向,非主線資料,台南系統,出口,18982,16578,21387
國1北向,非主線資料,永康,出口,10937,9437,14272
國1北向,非主線資料,台南,出口,17379,16436,18639
國1北向,非主線資料,仁德系統,出口,13591,11719,15091
國1北向,非主線資料,路竹,出口,5645,4821,6932
國1北向,非主線資料,高科,出口,5143,3626,8445
國1北向,非主線資料,岡山,出口,13424,11096,17377
國1北向,非主線資料,楠梓,出口,19371,16000,23475
國1北向,非主線資料,鼎金系統,出口,42500,37694,44534
國1北向,非主線資料,高雄,出口,21990,19213,23312
國1北向,非主線資料,五甲,出口,7375,6071,8433
國1南向,非主線資料,基隆,出口,6412,5175,7196
國1南向,非主線資料,五堵,出口,4327,3880,6183
國1南向,非主線資料,汐止及汐止系統,出口,29763,27379,29234
國1南向,非主線資料,內湖,出口,20595,17574,22778
國1南向,非主線資料,圓山,出口,10754,8769,11644
國1南向,非主線資料,台北,出口,27940,23727,31420
國1南向,非主線資料,三重,出口,15083,12791,17011
國1南向,非主線資料,五股,出口,15957,12221,19797
國1南向,非主線資料,高公局,出口,292,244,731
國1南向,非主線資料,泰山轉接道,出口,23853,20111,23571
國1南向,非主線資料,林口,出口,33725,27931,44249
國1南向,非主線資料,桃園,出口,24494,20502,31658
國1南向,非主線資料,機場系統,出口,27518,22510,34347
國1南向,非主線資料,內壢,出口,19301,16262,24165
國1南向,非主線資料,中壢轉接道,出口,10608,8599,12932
國1南向,非主線資料,中壢,出口,10394,8345,13115
國1南向,非主線資料,平鎮系統,出口,20638,16619,25498
國1南向,非主線資料,幼獅,出口,6054,4500,10307
國1南向,非主線資料,楊梅,出口,18623,15490,22896
