路線方向,路段,交流道,進出口,週六,週日,週2-4
國10西向,非主線資料,左營端,出口,42001,42175,38375
國10西向,非主線資料,鼎金系統,出口,31065,28593,31711
國10西向,非主線資料,仁武,出口,8981,9321,8742
國10西向,非主線資料,燕巢,出口,9042,10341,8454
國10西向,非主線資料,燕巢系統,出口,5891,5345,3820
國10東向,非主線資料,鼎金系統,出口,21964,21154,20336
國10東向,非主線資料,仁武,出口,16279,14418,17393
國10東向,非主線資料,燕巢,出口,6940,5848,8921
國10東向,非主線資料,燕巢系統,出口,21009,20151,16718
國10東向,非主線資料,嶺口,出口,5016,5021,3776
國10東向,非主線資料,里港,出口,5496,3587,4154
國10東向,非主線資料,旗山端,出口,15684,15619,9867
國1北向,非主線資料,基隆端,出口,30466,27311,28004
國1北向,非主線資料,基隆,出口,6316,5951,6979
國1北向,非主線資料,八堵,出口,7963,7079,6011
國1北向,非主線資料,大華系統,出口,30611,29217,23417
國1北向,非主線資料,五堵,出口,7438,6592,9649
國1北向,非主線資料,汐止及汐止系統,出口,23978,21841,25911
國1北向,非主線資料,東湖,出口,14064,13754,14670
國1北向,非主線資料,內湖,出口,15927,13826,19742
國1北向,非主線資料,圓山,出口,57444,51881,55610
國1北向,非主線資料,台北,出口,19311,17175,18821
國1北向,非主線資料,三重,出口,12886,12658,11594
國1北向,非主線資料,五股,出口,71132,66728,74453
國1北向,非主線資料,高公局,出口,182,146,396
國1北向,非主線資料,林口,出口,32621,30859,41942
國1北向,非主線資料,桃園,出口,31264,29764,34938
國1北向,非主線資料,機場系統,出口,24670,22466,26849
國1北向,非主線資料,內壢,出口,17950,17013,20549
國1北向,非主線資料,中壢,出口,27389,26266,26039
國1北向,非主線資料,平鎮系統,出口,17496,15511,19593
國1北向,非主線資料,幼獅,出口,2430,2039,3687
國1北向,非主線資料,楊梅,出口,4844,4393,5993
國1北向,非主線資料,高架楊梅端,出口,31144,33641,26181
國1北向,非主線資料,湖口,出口,14345,12656,20288
國1北向,非主線資料,竹北,出口,16857,15237,23394
國1北向,非主線資料,新竹,出口,24096,27079,27634
國1北向,非主線資料,新竹系統,出口,17808,21118,11885
國1北向,非主線資料,頭份,出口,6807,6425,5388
國1北向,非主線資料,頭屋,出口,1346,1534,902
國1北向,非主線資料,苗栗,出口,6299,6086,5201
國1北向,非主線資料,銅鑼,出口,4234,3610,2833
國1北向,非主線資料,三義,出口,5010,5131,3083
國1北向,非主線資料,后里,出口,11440,10778,11672
國1北向,非主線資料,台中系統,出口,27104,24303,27138
國1北向,非主線資料,豐原,出口,12358,10181,15722
國1北向,非主線資料,大雅,出口,10759,9294,13502
國1北向,非主線資料,台中,出口,15996,15852,15220
國1北向,非主線資料,南屯,出口,14173,13673,14002
國1北向,非主線資料,王田,出口,7493,7481,8139
國1北向,非主線資料,彰化系統,出口,27130,30681,24629
國1北向,非主線資料,彰化,出口,14192,12284,14285
國1北向,非主線資料,埔鹽系統,出口,10564,9326,9886
國1北向,非主線資料,員林,出口,3457,3775,3006
國1北向,非主線資料,北斗,出口,4172,4557,3367
國1北向,非主線資料,西螺,出口,5477,5144,4925
國1北向,非主線資料,虎尾,出口,2421,2476,2234
國1北向,非主線資料,斗南,出口,5616,5022,6038
國1北向,非主線資料,雲林系統,出口,8268,8868,7129
國1北向,非主線資料,大林,出口,2571,2523,3062
國1北向,非主線資料,民雄,出口,5229,5169,5139
國1北向,非主線資料,嘉義,出口,7901,7485,7010
國1北向,非主線資料,水上,出口,1802,1724,1603
國1北向,非主線資料,嘉義系統,出口,7711,8259,5850
國1北向,非主線資料,新營,出口,11101,9885,11072
國1北向,非主線資料,下營系統,出口,8683,9287,6877
國1北向,非主線資料,麻豆,出口,8853,8252,8846
國1北向,非主線資料,安定,出口,5237,4627,7865
國1北向,非主線資料,台南系統,出口,22140,21558,21829
國1北向,非主線資料,永康,出口,12689,11845,15139
國1北向,非主線資料,台南,出口,20771,21450,20257
國1北向,非主線資料,仁德系統,出口,16631,15909,15806
國1北向,非主線資料,路竹,出口,6455,6048,7462
國1北向,非主線資料,高科,出口,4957,3799,7948
國1北向,非主線資料,岡山,出口,15544,13598,17667
國1北向,非主線資料,楠梓,出口,21505,19483,25121
國1北向,非主線資料,鼎金系統,出口,49523,46734,46844
國1北向,非主線資料,高雄,出口,26920,24946,26446
國1北向,非主線資料,五甲,出口,8184,7247,8333
國1南向,非主線資料,基隆,出口,8412,7382,8842
國1南向,非主線資料,五堵,出口,5254,5088,6368
國1南向,非主線資料,汐止及汐止系統,出口,39718,38928,31809
國1南向,非主線資料,內湖,出口,26495,24686,25960
國1南向,非主線資料,圓山,出口,13830,12126,13513
國1南向,非主線資料,台北,出口,35160,32697,35732
國1南向,非主線資料,三重,出口,19432,18053,19827
國1南向,非主線資料,五股,出口,18740,15869,21124
國1南向,非主線資料,高公局,出口,32040,28357,26860
國1南向,非主線資料,林口,出口,43571,39960,50824
國1南向,非主線資料,桃園,出口,31550,29234,36189
國1南向,非主線資料,機場系統,出口,34465,30948,37541
國1南向,非主線資料,內壢,出口,25310,23390,27811
國1南向,非主線資料,中壢,出口,27734,24248,30160
國1南向,非主線資料,平鎮系統,出口,25320,22196,26848
國1南向,非主線資料,幼獅,出口,7147,5640,10577
國1南向,非主線資料,楊梅,出口,22124,19885,24248
國1南向,非主線資料,湖口,出口,9163,8358,12121
國1南向,非主線資料,竹北,出口,15185,14971,16979
國1南向,非主線資料,新竹,出口,27007,27579,36106
國1南向,非主線資料,新竹系統,出口,31604,25782,31643
國1南向,非主線資料,頭份,出口,15422,12765,15437
國1南向,非主線資料,頭屋,出口,6691,5428,4984
國1南向,非主線資料,苗栗,出口,5549,3743,3164
國1南向,非主線資料,銅鑼,出口,2365,1853,1812
國1南向,非主線資料,三義,出口,6165,4980,4060
