"週六","週日","平日","年度"
50734.4263959391,50016.7461928934,42924.2182741117,107
49247.9698492462,48658.4422110553,41821.3040201005,108
48614.555,48104.8025,41258.32,109
39138.975,35971.03,38647.5375,110
51727.0585365854,51223.9658536585,44694.9048780488,111
