路線方向,路段,交流道,進出口,週六,週日,週2-4
國1南向路段,基隆端-基隆,非匝道資料,非匝道資料,23157,20182,23427
國1南向路段,基隆-八堵,非匝道資料,非匝道資料,22186,19523,22913
國1南向路段,八堵-大華系統,非匝道資料,非匝道資料,29637,27086,29913
國1南向路段,大華系統-五堵,非匝道資料,非匝道資料,50905,46508,50023
國1南向路段,五堵-汐止及汐止系統,非匝道資料,非匝道資料,52666,47479,52552
國1南向路段,汐止及汐止系統-東湖,非匝道資料,非匝道資料,37881,33504,41721
國1南向路段,東湖-內湖,非匝道資料,非匝道資料,52692,45624,58172
國1南向路段,內湖-圓山,非匝道資料,非匝道資料,43876,37020,51525
國1南向路段,圓山-台北,非匝道資料,非匝道資料,79633,66627,92896
國1南向路段,台北-三重,非匝道資料,非匝道資料,66495,55007,78469
國1南向路段,三重-五股,非匝道資料,非匝道資料,61391,50588,71132
國1南向路段,五股-高公局,非匝道資料,非匝道資料,101744,85764,118126
國1南向路段,高公局-林口(文化一路),非匝道資料,非匝道資料,101640,85671,117694
國1南向路段,林口(文化一路)-林口(文化北路),非匝道資料,非匝道資料,44073,37637,49909
國1南向路段,林口(文化北路)-桃園,非匝道資料,非匝道資料,71131,58049,87745
國1南向路段,桃園-機場系統,非匝道資料,非匝道資料,70952,57316,85864
國1南向路段,機場系統-中壢服務區,非匝道資料,非匝道資料,62731,50778,75422
國1南向路段,中壢服務區-內壢,非匝道資料,非匝道資料,63679,51449,75642
國1南向路段,內壢-中壢,非匝道資料,非匝道資料,58379,46436,69526
國1南向路段,中壢-平鎮系統,非匝道資料,非匝道資料,58532,47663,66667
國1南向路段,平鎮系統-幼獅,非匝道資料,非匝道資料,52830,43788,59251
國1南向路段,幼獅-楊梅,非匝道資料,非匝道資料,49347,41183,53029
國1南向路段,楊梅-楊梅端,非匝道資料,非匝道資料,34918,29224,35921
國1南向路段,高架楊梅端-湖口,非匝道資料,非匝道資料,60433,51006,59563
國1南向路段,湖口-竹北,非匝道資料,非匝道資料,65327,55135,67199
國1南向路段,竹北-新竹(公道五路),非匝道資料,非匝道資料,68311,55879,71652
國1南向路段,新竹(公道五路)-新竹(園區二路),非匝道資料,非匝道資料,46227,35355,39699
國1南向路段,新竹(園區二路)-新竹系統,非匝道資料,非匝道資料,66485,50521,63615
國1南向路段,新竹系統-頭份,非匝道資料,非匝道資料,55161,41806,44587
國1南向路段,頭份-頭屋,非匝道資料,非匝道資料,48313,36836,35332
國1南向路段,頭屋-苗栗,非匝道資料,非匝道資料,43926,33658,31564
國1南向路段,苗栗-銅鑼,非匝道資料,非匝道資料,44710,35440,33442
國1南向路段,銅鑼-三義,非匝道資料,非匝道資料,45841,37052,34532
國1南向路段,三義-后里,非匝道資料,非匝道資料,44925,36913,33683
國1南向路段,后里-台中系統,非匝道資料,非匝道資料,50965,41804,41931
國1南向路段,台中系統-豐原,非匝道資料,非匝道資料,68444,57176,63551
國1南向路段,豐原-大雅,非匝道資料,非匝道資料,68814,56599,66583
國1南向路段,大雅-台中,非匝道資料,非匝道資料,54246,43722,54556
國1南向路段,台中-南屯,非匝道資料,非匝道資料,51791,41667,49290
國1南向路段,南屯-王田,非匝道資料,非匝道資料,49690,39391,46414
國1南向路段,王田-彰化系統,非匝道資料,非匝道資料,48918,39040,44456
國1南向路段,彰化系統-彰化,非匝道資料,非匝道資料,72047,57970,66836
國1南向路段,彰化-埔鹽系統,非匝道資料,非匝道資料,65208,52915,59335
國1南向路段,埔鹽系統-員林,非匝道資料,非匝道資料,62550,50908,55386
國1南向路段,員林-北斗,非匝道資料,非匝道資料,55659,45044,47529
國1南向路段,北斗-西螺,非匝道資料,非匝道資料,49601,40665,40747
國1南向路段,西螺-虎尾,非匝道資料,非匝道資料,49924,41410,41487
國1南向路段,虎尾-斗南,非匝道資料,非匝道資料,48382,40446,39976
國1南向路段,斗南-雲林系統,非匝道資料,非匝道資料,48556,40482,41256
國1南向路段,雲林系統-大林,非匝道資料,非匝道資料,45442,39040,39857
國1南向路段,大林-民雄,非匝道資料,非匝道資料,44779,38565,39759
國1南向路段,民雄-嘉義,非匝道資料,非匝道資料,43289,37789,38943
國1南向路段,嘉義-水上,非匝道資料,非匝道資料,40745,36422,36357
國1南向路段,水上-嘉義系統,非匝道資料,非匝道資料,39846,35899,35356
國1南向路段,嘉義系統-新營服務區,非匝道資料,非匝道資料,39273,36853,34659
國1南向路段,新營服務區-新營,非匝道資料,非匝道資料,38718,36342,34173
國1南向路段,新營-下營系統,非匝道資料,非匝道資料,43634,41039,40912
國1南向路段,下營系統-麻豆,非匝道資料,非匝道資料,48357,45029,45404
國1南向路段,麻豆-安定,非匝道資料,非匝道資料,51020,47111,49069
國1南向路段,安定-台南系統,非匝道資料,非匝道資料,52394,47346,51006
國1南向路段,台南系統-永康,非匝道資料,非匝道資料,64126,58139,65911
國1南向路段,永康-大灣,非匝道資料,非匝道資料,62573,55345,67812
